RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility ,ORTG,DRTG
,Anthony Edwards,Min,G,20.27,10,36.7,76.5,30.8,12,43,0.767,124,0.5,99,0.343,0.507,0.535,25.9,6.2,8.6,3.5,18.3,1.6,0.5,3.3,9,104.9,108.9
,CJ Elleby,Por,F-G,21.41,6,5.3,11,17.5,23.1,0,0,5,0.4,5,0.2,0.35,0.35,1.2,1.2,11.7,0.2,4.1,0,0,0.5,5,58.6,103.7
,Wayne Ellington,Lal,G,33.95,4,19.8,41.1,13.2,4,2,1,2,0.5,21,0.429,0.63,0.649,7.8,2,5.3,0.8,5.1,0,0,0.25,4.7,130.5,110.8
,Joel Embiid,Phi,C-F,27.66,9,30.9,64.3,32.3,13.6,77,0.779,105,0.448,33,0.394,0.482,0.561,21.4,9.4,16.7,4,20.5,0.89,1.44,3,12,110.6,102.6
,Drew Eubanks,San,F-C,24.78,11,15.1,31.4,18.9,21.7,27,0.741,44,0.591,2,0,0.565,0.622,6.5,4.7,16.6,1.4,12.1,0.55,1.18,1.45,9.3,110.5,97.2
,Tacko Fall,Cle,C,25.92,3,1,2.2,28,50,0,0,1,0,0,0,0,0,0,0.7,34.6,0,0,0,0,0.33,0,,
,Derrick Favors,Okc,F,30.33,9,18,37.5,14.9,7.1,8,0.75,47,0.532,2,0.5,0.541,0.562,6.6,5.9,16.3,0.6,5.2,0.56,0.11,0.44,6.4,121,98.4
,Bruno Fernando,Bos,F-C,23.24,3,2,4.2,14.6,100,0,0,0,0,0,0,,,0,0,0,0.3,21,0,0.33,0.67,0,,
,Dorian Finney-Smith,Dal,F,28.53,11,31.2,65,14,13.7,14,0.643,34,0.471,54,0.259,0.42,0.441,7.5,4.9,8.2,1.2,5.4,1.45,0.73,1.36,4.5,94.6,102
,Malik Fitts,Uta,F,20,3,2.3,4.9,0,,0,0,0,0,0,0,,,0,0.7,15.4,0,0,0,0,0,0,,
,Malachi Flynn,Tor,G,23.51,7,4.9,10.2,11.1,0,0,0,5,0.2,4,0.5,0.444,0.444,1.1,0.6,6.3,0.7,19.6,0.57,0,0,6.3,119.3,93.6
,Bryn Forbes,San,G,28.31,11,12,25,20.5,11,4,0.5,24,0.417,31,0.452,0.564,0.564,5.8,0.8,3.6,0.5,5.2,0.09,0,0.64,4.4,98.8,107.1
,Trent Forrest,Uta,G,23.42,7,8.4,17.5,5.8,38.1,2,1,4,0.5,0,0,0.5,0.615,0.9,0.7,4.6,0.6,8.6,0.29,0,0.43,3.4,95.5,100.9
,Evan Fournier,Nyk,G-F,29.04,12,29.5,61.4,20.9,8.9,21,0.762,61,0.492,83,0.361,0.521,0.542,13.8,3,5.4,2,10.4,1.08,0.33,1.25,5.9,107.7,110.6
,De'Aaron Fox,Sac,G,23.9,12,35.4,73.8,29.3,14.4,68,0.706,166,0.476,54,0.222,0.441,0.484,20.2,3.8,5.7,6.1,27,1.5,0.67,3.5,8.8,97.6,105.9
,Daniel Gafford,Was,F-C,23.12,9,19.1,39.9,15.9,12.9,16,0.688,47,0.681,0,0,0.681,0.694,8.3,4.8,13.2,0.6,4.6,0.78,1.67,0.89,6,132.1,97
,Danilo Gallinari,Atl,F,33.26,9,16.8,34.9,18.6,9.2,12,0.833,25,0.36,29,0.379,0.472,0.515,6.8,3,9.6,0.4,3.7,0.44,0.11,0.67,4.8,105.8,111.9
,Darius Garland,Cle,G,21.79,10,33.4,69.6,22.1,23.6,20,0.85,61,0.541,60,0.417,0.583,0.609,15.8,2.2,3.5,7.2,33.5,1.1,0.1,4,7.5,106.4,109.2
